,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
105,44,blue-collar,married,secondary,no,54,yes,no,unknown,5,5,197,1,-1,0,unknown,no
106,47,technician,married,tertiary,no,151,yes,no,unknown,5,5,190,1,-1,0,unknown,no
108,59,retired,single,secondary,no,30,yes,no,unknown,5,5,514,1,-1,0,unknown,no
109,45,management,married,tertiary,no,523,yes,no,unknown,5,5,849,2,-1,0,unknown,no
110,29,services,divorced,secondary,no,31,yes,no,unknown,5,5,194,1,-1,0,unknown,no
111,46,technician,divorced,secondary,no,79,no,no,unknown,5,5,144,1,-1,0,unknown,no
112,56,self-employed,married,primary,no,-34,yes,yes,unknown,5,5,212,2,-1,0,unknown,no
113,36,blue-collar,married,primary,no,448,yes,no,unknown,5,5,286,1,-1,0,unknown,no
114,59,retired,divorced,primary,no,81,yes,no,unknown,5,5,107,1,-1,0,unknown,no
115,44,blue-collar,married,secondary,no,144,yes,no,unknown,5,5,247,2,-1,0,unknown,no
116,41,admin.,married,secondary,no,351,yes,no,unknown,5,5,518,1,-1,0,unknown,no
118,59,management,divorced,tertiary,no,262,no,no,unknown,5,5,178,1,-1,0,unknown,no
119,57,technician,married,primary,no,0,no,no,unknown,5,5,98,1,-1,0,unknown,no
120,56,technician,divorced,unknown,no,56,yes,no,unknown,5,5,439,1,-1,0,unknown,no
121,51,blue-collar,married,secondary,no,26,yes,no,unknown,5,5,79,1,-1,0,unknown,no
122,34,admin.,married,unknown,no,3,yes,no,unknown,5,5,120,3,-1,0,unknown,no
123,43,services,married,secondary,no,41,yes,yes,unknown,5,5,127,2,-1,0,unknown,no
124,52,technician,married,tertiary,no,7,no,yes,unknown,5,5,175,1,-1,0,unknown,no
125,33,technician,single,secondary,no,105,yes,no,unknown,5,5,262,2,-1,0,unknown,no
126,29,admin.,single,secondary,no,818,yes,yes,unknown,5,5,61,1,-1,0,unknown,no
128,31,blue-collar,married,secondary,no,0,yes,no,unknown,5,5,143,1,-1,0,unknown,no
129,55,services,married,secondary,no,2476,yes,no,unknown,5,5,579,1,-1,0,unknown,yes
130,55,management,married,unknown,no,1185,no,no,unknown,5,5,677,1,-1,0,unknown,no
131,32,admin.,single,secondary,no,217,yes,no,unknown,5,5,345,1,-1,0,unknown,no
132,38,technician,single,secondary,no,1685,yes,no,unknown,5,5,185,1,-1,0,unknown,no
133,55,admin.,single,secondary,no,802,yes,yes,unknown,5,5,100,2,-1,0,unknown,no
134,28,unemployed,single,tertiary,no,0,yes,no,unknown,5,5,125,2,-1,0,unknown,no
135,23,blue-collar,married,secondary,no,94,yes,no,unknown,5,5,193,1,-1,0,unknown,no
136,32,technician,single,secondary,no,0,yes,no,unknown,5,5,136,1,-1,0,unknown,no
138,32,blue-collar,married,secondary,no,517,yes,no,unknown,5,5,528,1,-1,0,unknown,no
139,46,blue-collar,married,secondary,no,265,yes,no,unknown,5,5,541,1,-1,0,unknown,no
140,53,housemaid,divorced,primary,no,947,yes,no,unknown,5,5,163,1,-1,0,unknown,no
141,34,self-employed,single,secondary,no,3,yes,no,unknown,5,5,301,1,-1,0,unknown,no
142,57,unemployed,married,tertiary,no,42,no,no,unknown,5,5,46,1,-1,0,unknown,no
143,37,blue-collar,married,secondary,no,37,yes,no,unknown,5,5,204,1,-1,0,unknown,no
144,59,blue-collar,married,secondary,no,57,yes,no,unknown,5,5,98,1,-1,0,unknown,no
145,33,services,married,secondary,no,22,yes,no,unknown,5,5,71,1,-1,0,unknown,no
146,56,blue-collar,divorced,primary,no,8,yes,no,unknown,5,5,157,2,-1,0,unknown,no
147,48,unemployed,married,secondary,no,293,yes,no,unknown,5,5,243,1,-1,0,unknown,no
148,43,services,married,primary,no,3,yes,no,unknown,5,5,186,2,-1,0,unknown,no
149,54,blue-collar,married,primary,no,348,yes,no,unknown,5,5,579,2,-1,0,unknown,no
150,51,blue-collar,married,unknown,no,-19,yes,no,unknown,5,5,163,2,-1,0,unknown,no
151,26,student,single,secondary,no,0,yes,no,unknown,5,5,610,2,-1,0,unknown,no
152,40,management,married,tertiary,no,-4,yes,no,unknown,5,5,2033,1,-1,0,unknown,no
154,50,technician,married,primary,no,139,no,no,unknown,5,5,114,2,-1,0,unknown,no
155,41,services,married,secondary,no,0,yes,no,unknown,5,5,114,2,-1,0,unknown,no
156,51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,5,57,1,-1,0,unknown,no
157,60,retired,divorced,secondary,no,216,yes,no,unknown,5,5,238,1,-1,0,unknown,no
158,52,blue-collar,married,secondary,no,782,yes,no,unknown,5,5,93,3,-1,0,unknown,no
159,48,blue-collar,married,secondary,no,904,yes,no,unknown,5,5,128,2,-1,0,unknown,no
160,48,services,married,unknown,no,1705,yes,no,unknown,5,5,107,1,-1,0,unknown,no
161,39,technician,single,tertiary,no,47,yes,no,unknown,5,5,181,1,-1,0,unknown,no
163,40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,5,558,5,-1,0,unknown,no
164,45,technician,married,secondary,no,86,yes,no,unknown,5,5,270,1,-1,0,unknown,no
165,26,admin.,single,secondary,no,82,yes,no,unknown,5,5,228,1,-1,0,unknown,no
166,52,management,married,tertiary,no,271,yes,no,unknown,5,5,99,1,-1,0,unknown,no
167,54,technician,married,secondary,no,1378,yes,no,unknown,5,5,240,1,-1,0,unknown,no
168,54,admin.,married,tertiary,no,184,no,no,unknown,5,5,673,2,-1,0,unknown,yes
169,50,blue-collar,married,primary,no,0,no,no,unknown,5,5,233,3,-1,0,unknown,no
171,44,services,married,secondary,no,1357,yes,yes,unknown,5,5,250,1,-1,0,unknown,no
173,35,retired,single,primary,no,434,no,no,unknown,5,5,138,1,-1,0,unknown,no
174,60,admin.,divorced,secondary,no,92,yes,no,unknown,5,5,130,1,-1,0,unknown,no
176,48,unemployed,married,secondary,no,41,yes,no,unknown,5,5,179,2,-1,0,unknown,no
179,51,management,married,secondary,no,1161,yes,no,unknown,5,5,717,1,-1,0,unknown,no
180,31,services,married,tertiary,no,37,yes,no,unknown,5,5,313,1,-1,0,unknown,no
181,35,technician,divorced,secondary,no,787,yes,no,unknown,5,5,683,2,-1,0,unknown,no
182,35,services,married,secondary,no,59,yes,no,unknown,5,5,1077,1,-1,0,unknown,no
183,38,technician,married,secondary,no,253,yes,no,unknown,5,5,416,1,-1,0,unknown,no
184,36,admin.,married,tertiary,no,211,yes,no,unknown,5,5,146,2,-1,0,unknown,no
185,58,retired,married,primary,no,235,yes,no,unknown,5,5,167,1,-1,0,unknown,no
186,40,services,divorced,unknown,no,4384,yes,no,unknown,5,5,315,1,-1,0,unknown,no
187,54,management,married,secondary,no,4080,no,no,unknown,5,5,140,1,-1,0,unknown,no
188,34,blue-collar,single,secondary,no,53,yes,yes,unknown,5,5,346,1,-1,0,unknown,no
189,31,management,single,tertiary,no,0,yes,no,unknown,5,5,562,1,-1,0,unknown,no
190,51,retired,married,secondary,no,2127,yes,no,unknown,5,5,172,1,-1,0,unknown,no
191,33,management,married,tertiary,no,377,yes,no,unknown,5,5,217,1,-1,0,unknown,no
192,55,management,married,tertiary,no,73,yes,no,unknown,5,5,142,2,-1,0,unknown,no
194,34,blue-collar,married,secondary,no,243,yes,no,unknown,5,5,291,1,-1,0,unknown,no
195,33,blue-collar,single,secondary,no,307,yes,no,unknown,5,5,309,2,-1,0,unknown,no
196,38,services,married,secondary,no,155,yes,no,unknown,5,5,248,1,-1,0,unknown,no
197,50,technician,divorced,tertiary,no,173,no,yes,unknown,5,5,98,1,-1,0,unknown,no
198,43,management,married,tertiary,no,400,yes,no,unknown,5,5,256,1,-1,0,unknown,no
199,61,blue-collar,divorced,primary,no,1428,yes,no,unknown,5,5,82,2,-1,0,unknown,no
200,47,admin.,married,secondary,no,219,yes,no,unknown,5,5,577,1,-1,0,unknown,no
203,35,student,single,unknown,no,298,yes,no,unknown,5,5,611,2,-1,0,unknown,no
204,35,services,married,secondary,no,0,yes,no,unknown,5,5,471,1,-1,0,unknown,no
205,50,services,married,secondary,no,5699,yes,no,unknown,5,5,381,2,-1,0,unknown,no
206,41,management,married,tertiary,no,176,yes,yes,unknown,5,5,42,1,-1,0,unknown,no
207,41,management,married,tertiary,no,517,yes,no,unknown,5,5,251,1,-1,0,unknown,no
208,39,services,single,unknown,no,257,yes,no,unknown,5,5,408,1,-1,0,unknown,no
209,42,retired,married,secondary,no,56,yes,no,unknown,5,5,215,1,-1,0,unknown,no
210,38,blue-collar,married,secondary,no,-390,yes,no,unknown,5,5,287,1,-1,0,unknown,no
211,53,retired,married,secondary,no,330,yes,no,unknown,5,5,216,2,-1,0,unknown,no
212,59,housemaid,divorced,primary,no,195,no,no,unknown,5,5,366,2,-1,0,unknown,no
213,36,services,married,secondary,no,301,yes,no,unknown,5,5,210,1,-1,0,unknown,no
214,54,blue-collar,married,primary,no,-41,yes,no,unknown,5,5,288,1,-1,0,unknown,no
215,40,technician,married,tertiary,no,483,yes,no,unknown,5,5,168,1,-1,0,unknown,no
216,47,unknown,married,unknown,no,28,no,no,unknown,5,5,338,2,-1,0,unknown,no
217,53,unemployed,married,unknown,no,13,no,no,unknown,5,5,410,3,-1,0,unknown,no
218,46,housemaid,married,primary,no,965,no,no,unknown,5,5,177,1,-1,0,unknown,no
220,40,unemployed,married,secondary,no,219,yes,no,unknown,5,5,357,1,-1,0,unknown,no
221,28,blue-collar,married,primary,no,324,yes,no,unknown,5,5,175,1,-1,0,unknown,no
222,35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5,5,300,1,-1,0,unknown,no
223,55,retired,married,secondary,no,0,no,yes,unknown,5,5,136,1,-1,0,unknown,no
224,43,technician,divorced,unknown,no,205,yes,no,unknown,5,5,1419,1,-1,0,unknown,no
225,48,blue-collar,married,primary,no,278,yes,no,unknown,5,5,125,2,-1,0,unknown,no
226,58,management,married,unknown,no,1065,yes,no,unknown,5,5,213,3,-1,0,unknown,no
227,33,management,single,tertiary,no,34,yes,no,unknown,5,5,27,1,-1,0,unknown,no
230,47,blue-collar,married,primary,no,-12,yes,no,unknown,5,5,18,1,-1,0,unknown,no
231,31,services,married,secondary,no,388,yes,no,unknown,5,5,730,2,-1,0,unknown,no
232,57,entrepreneur,married,secondary,no,294,yes,no,unknown,5,5,746,2,-1,0,unknown,no
233,53,blue-collar,married,unknown,no,1827,no,no,unknown,5,5,121,1,-1,0,unknown,no
234,55,blue-collar,married,primary,no,627,yes,no,unknown,5,5,247,1,-1,0,unknown,no
235,45,blue-collar,married,primary,no,25,yes,no,unknown,5,5,40,1,-1,0,unknown,no
237,37,blue-collar,married,primary,no,0,yes,no,unknown,5,5,79,1,-1,0,unknown,no
238,44,admin.,divorced,secondary,no,66,yes,no,unknown,5,5,206,1,-1,0,unknown,no
239,49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,5,5,389,1,-1,0,unknown,no
241,43,entrepreneur,married,unknown,no,100,yes,no,unknown,5,5,702,1,-1,0,unknown,no
242,38,admin.,married,secondary,no,0,no,no,unknown,5,5,151,1,-1,0,unknown,no
243,43,technician,married,secondary,no,434,yes,no,unknown,5,5,117,1,-1,0,unknown,no
244,49,management,married,tertiary,no,3237,yes,no,unknown,5,5,232,3,-1,0,unknown,no
245,42,management,married,unknown,no,275,no,no,unknown,5,5,408,2,-1,0,unknown,no
247,40,management,married,tertiary,no,207,yes,no,unknown,5,5,39,1,-1,0,unknown,no
248,39,blue-collar,married,secondary,no,483,yes,no,unknown,5,5,282,1,-1,0,unknown,no
249,51,services,married,secondary,no,2248,yes,no,unknown,5,5,714,2,-1,0,unknown,no
250,49,admin.,married,secondary,no,428,yes,no,unknown,5,5,50,1,-1,0,unknown,no
251,53,blue-collar,married,secondary,no,0,yes,yes,unknown,5,5,181,1,-1,0,unknown,no
252,34,services,single,secondary,no,0,yes,no,unknown,5,5,142,1,-1,0,unknown,no
254,50,management,single,tertiary,no,297,yes,no,unknown,5,5,119,1,-1,0,unknown,no
255,39,blue-collar,married,primary,no,279,yes,no,unknown,5,5,361,1,-1,0,unknown,no
256,59,entrepreneur,divorced,secondary,no,901,yes,no,unknown,5,5,73,3,-1,0,unknown,no
257,30,technician,single,secondary,no,2573,yes,no,unknown,5,5,67,2,-1,0,unknown,no
258,36,services,married,secondary,no,143,yes,yes,unknown,5,5,350,1,-1,0,unknown,no
259,40,blue-collar,married,secondary,no,475,yes,no,unknown,5,5,332,2,-1,0,unknown,no
261,34,management,single,tertiary,no,318,yes,no,unknown,5,5,113,2,-1,0,unknown,no
262,37,technician,married,secondary,no,275,yes,no,unknown,5,5,132,1,-1,0,unknown,no
263,42,management,divorced,tertiary,no,742,yes,no,unknown,5,5,58,3,-1,0,unknown,no
264,41,entrepreneur,married,primary,no,236,yes,no,unknown,5,5,151,1,-1,0,unknown,no
265,30,student,single,tertiary,no,25,yes,no,unknown,5,5,89,2,-1,0,unknown,no
266,37,management,single,tertiary,no,600,yes,no,unknown,5,5,152,1,-1,0,unknown,no
267,39,admin.,divorced,secondary,no,-349,yes,no,unknown,5,5,611,2,-1,0,unknown,no
268,41,blue-collar,married,primary,no,183,yes,yes,unknown,5,5,110,2,-1,0,unknown,no
269,40,blue-collar,married,primary,no,0,yes,no,unknown,5,5,463,1,-1,0,unknown,no
270,42,management,single,tertiary,no,0,yes,yes,unknown,5,5,562,2,-1,0,unknown,yes
271,40,blue-collar,divorced,primary,no,0,yes,no,unknown,5,5,962,1,-1,0,unknown,no
272,57,technician,married,secondary,no,1078,yes,no,unknown,5,5,10,4,-1,0,unknown,no
273,56,entrepreneur,divorced,secondary,no,155,no,no,unknown,5,5,118,3,-1,0,unknown,no
274,37,admin.,married,secondary,no,190,yes,no,unknown,5,5,92,2,-1,0,unknown,no
275,59,retired,married,secondary,no,319,yes,no,unknown,5,5,143,3,-1,0,unknown,no
276,39,services,divorced,secondary,no,-185,yes,no,unknown,5,5,189,3,-1,0,unknown,no
277,49,services,married,secondary,no,47,no,no,unknown,5,5,234,2,-1,0,unknown,no
278,38,services,single,secondary,no,570,yes,no,unknown,5,5,75,2,-1,0,unknown,no
279,36,self-employed,married,tertiary,no,19,no,no,unknown,5,5,189,2,-1,0,unknown,no
280,50,blue-collar,married,primary,no,61,yes,no,unknown,5,5,621,3,-1,0,unknown,no
281,41,admin.,married,secondary,no,-62,yes,yes,unknown,5,5,55,2,-1,0,unknown,no
282,54,technician,married,tertiary,no,258,no,no,unknown,5,5,310,4,-1,0,unknown,no
283,58,blue-collar,married,primary,no,76,yes,no,unknown,5,5,156,2,-1,0,unknown,no
286,47,admin.,married,secondary,no,368,yes,no,unknown,5,5,125,2,-1,0,unknown,no
287,50,technician,single,tertiary,no,339,yes,no,unknown,5,5,2,3,-1,0,unknown,no
288,32,blue-collar,married,secondary,no,1331,yes,no,unknown,5,5,286,2,-1,0,unknown,no
289,40,self-employed,married,secondary,no,672,yes,no,unknown,5,5,164,2,-1,0,unknown,no
290,37,management,married,tertiary,no,58,yes,no,unknown,5,5,98,2,-1,0,unknown,no
291,54,technician,single,unknown,no,447,yes,no,unknown,5,5,742,2,-1,0,unknown,no
292,24,student,single,secondary,no,423,yes,no,unknown,5,5,226,3,-1,0,unknown,no
293,54,management,married,tertiary,no,0,no,no,unknown,5,5,120,2,-1,0,unknown,no
294,34,technician,married,secondary,no,19,yes,no,unknown,5,5,362,4,-1,0,unknown,no
295,56,technician,divorced,primary,no,13,yes,no,unknown,5,5,357,2,-1,0,unknown,no
296,31,blue-collar,single,secondary,no,3,yes,no,unknown,5,5,200,2,-1,0,unknown,no
297,24,student,single,secondary,no,82,yes,no,unknown,5,5,204,2,-1,0,unknown,no
298,42,blue-collar,divorced,primary,no,28,yes,no,unknown,5,5,126,3,-1,0,unknown,no
299,57,technician,married,secondary,no,792,yes,no,unknown,5,5,65,2,-1,0,unknown,no
300,42,blue-collar,married,unknown,no,408,yes,no,unknown,5,5,107,2,-1,0,unknown,no
301,51,admin.,married,secondary,no,531,yes,no,unknown,5,5,267,2,-1,0,unknown,no
302,57,retired,married,secondary,no,211,yes,no,unknown,5,5,248,2,-1,0,unknown,no
303,36,services,single,secondary,no,62,yes,no,unknown,5,5,215,2,-1,0,unknown,no
304,53,services,married,unknown,no,257,yes,no,unknown,5,5,209,2,-1,0,unknown,no
306,54,management,married,tertiary,no,313,yes,no,unknown,5,5,83,2,-1,0,unknown,no
307,55,blue-collar,married,secondary,no,89,yes,no,unknown,5,5,106,3,-1,0,unknown,no
308,44,blue-collar,married,secondary,no,129,yes,yes,unknown,5,5,189,2,-1,0,unknown,no
309,43,management,married,unknown,no,0,yes,no,unknown,5,5,105,2,-1,0,unknown,no
310,56,admin.,married,secondary,no,353,yes,no,unknown,5,5,106,2,-1,0,unknown,no
311,54,technician,married,unknown,no,851,yes,no,unknown,5,5,108,2,-1,0,unknown,no
312,55,services,divorced,primary,no,96,yes,yes,unknown,5,5,311,2,-1,0,unknown,no
313,37,services,divorced,secondary,no,398,yes,yes,unknown,5,5,214,2,-1,0,unknown,no
314,33,admin.,single,tertiary,no,193,no,no,unknown,5,5,132,2,-1,0,unknown,no
316,36,blue-collar,married,secondary,no,539,yes,yes,unknown,5,5,453,2,-1,0,unknown,no
318,40,retired,single,primary,no,0,no,no,unknown,5,5,136,2,-1,0,unknown,no
319,42,blue-collar,married,secondary,no,490,yes,no,unknown,5,5,386,2,-1,0,unknown,no
320,51,blue-collar,married,secondary,no,0,yes,no,unknown,5,5,173,2,-1,0,unknown,no
321,49,blue-collar,married,unknown,no,403,yes,no,unknown,5,5,241,2,-1,0,unknown,no
322,48,management,married,secondary,no,161,yes,no,unknown,5,5,224,3,-1,0,unknown,no
324,31,admin.,single,secondary,no,98,yes,no,unknown,5,5,196,2,-1,0,unknown,no
325,55,management,single,tertiary,no,115,no,no,unknown,5,5,111,4,-1,0,unknown,no
326,40,blue-collar,single,secondary,no,436,yes,no,unknown,5,5,231,3,-1,0,unknown,no
327,47,technician,married,tertiary,no,831,yes,no,unknown,5,5,316,3,-1,0,unknown,no
328,57,technician,married,unknown,no,206,yes,no,unknown,5,5,216,3,-1,0,unknown,no
329,41,blue-collar,married,secondary,no,290,yes,no,unknown,5,5,240,2,-1,0,unknown,no
330,48,blue-collar,married,secondary,no,1,no,no,unknown,5,5,669,3,-1,0,unknown,no
331,42,blue-collar,married,unknown,no,57,yes,no,unknown,5,5,425,2,-1,0,unknown,no
332,30,blue-collar,single,secondary,no,-457,yes,no,unknown,5,5,143,2,-1,0,unknown,no
333,58,management,single,tertiary,no,1387,yes,no,unknown,5,5,174,5,-1,0,unknown,no
334,45,management,divorced,tertiary,no,24598,yes,no,unknown,5,5,313,3,-1,0,unknown,no
